month,label,ad_spend,leads,trials_or_demos,new_customers,churned,active,mrr,collected,cumulative,cogs,gm_pct
0,Sep 14-30 2026,0,0,,2,0,2.0,207,637,637,120,
1,Oct 2026,750,25.0,6.2,5.5,0.1,5.3,546,1231,1868,168,69.2
2,Nov 2026,988,32.9,8.2,8.3,0.2,12.4,1280,2755,4623,273,78.7
3,Dec 2026,1653,55.1,13.8,11.9,0.4,22.3,2305,4309,8931,420,81.8
4,Jan 2027,2500,83.3,20.8,16.0,0.8,35.7,3688,6333,15265,619,83.2
5,Feb 2027,2500,83.3,20.8,16.4,1.3,50.7,5236,8076,23341,841,83.9
6,Mar 2027,2500,83.3,20.8,16.9,1.8,65.6,6773,9417,32758,1061,84.3
7,Apr 2027,2500,83.3,20.8,17.3,2.3,80.5,8300,10742,43500,1281,84.6
8,May 2027,2500,83.3,20.8,17.7,2.8,95.3,9819,12050,55551,1500,84.7
