month,label,ad_spend,leads,trials_or_demos,new_customers,churned,active,mrr,collected,cumulative,cogs,gm_pct
0,Sep 14-30 2026,0,0,,2,0,2.0,203,849,849,120,
1,Oct 2026,750,34.1,8.5,8.8,0.0,7.1,725,2346,3195,196,73.0
2,Nov 2026,1658,75.3,18.8,16.5,0.2,20.0,2034,6059,9254,386,81.0
3,Dec 2026,2500,113.6,28.4,24.5,0.5,40.6,4122,10376,19629,691,83.2
4,Jan 2027,2500,113.6,28.4,25.1,1.0,64.5,6551,13499,33128,1045,84.0
5,Feb 2027,2500,113.6,28.4,25.8,1.6,88.6,8989,15492,48620,1401,84.4
6,Mar 2027,2500,113.6,28.4,26.6,2.1,112.8,11439,17489,66109,1760,84.6
7,Apr 2027,2500,113.6,28.4,27.3,2.7,137.2,13902,19481,85590,2120,84.7
8,May 2027,2500,113.6,28.4,28.0,3.3,161.7,16378,21468,107057,2483,84.8
